100020,2801428987368147239,0,2014-10-21 04:00:00,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,790bb406,1f0bc64f,1,0,6563,320,50,572,2,39,-1,32
100032,2806378822612626692,0,2014-10-21 04:00:00,1005,1,f61eaaae,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,93c77718,4ea23a13,1,0,20970,320,50,2372,0,813,-1,46
100057,2818687097533115,0,2014-10-21 04:00:00,1005,0,686546d3,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5d01d783,05e70df4,1,0,21153,320,50,2420,2,35,100188,69
100193,2899350840399378850,0,2014-10-21 04:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a34de27f,edead9f4,1,0,15707,320,50,1722,0,35,-1,79
10021,4572894382186249123,0,2014-10-21,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f5778af0,fbc27727,1,0,20006,320,50,2283,0,163,-1,95
100213,2903952063879578869,0,2014-10-21 04:00:00,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c3fd3b57,76dc4769,1,0,19950,320,50,1800,3,167,100075,23
10027,458551934220030637,0,2014-10-21,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c5d3b55d,be87996b,1,2,15708,320,50,1722,0,35,-1,79
100273,294110975792170850,0,2014-10-21 04:00:00,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,528c30ba,6ac9eb05,1,0,20003,320,50,2282,3,35,-1,117
100311,2964503602183675112,0,2014-10-21 04:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a1e57208,a5bce124,1,0,15699,320,50,1722,0,35,100083,79
10034,4592457377670090587,1,2014-10-21,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3dad8b87,6332421a,1,0,15701,320,50,1722,0,35,-1,79
10035,4596180260218115207,0,2014-10-21,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5bb6c0b5,711ee120,1,0,15708,320,50,1722,0,35,100083,79
100385,2997858787633615012,0,2014-10-21 04:00:00,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4cc0f6af,8a4875bd,1,0,21404,320,50,2467,2,167,100077,23
100481,305014460859485092,0,2014-10-21 04:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,dc60efdc,d72209dc,158e4944,1,0,21647,320,50,2487,1,547,-1,51
100492,3055580928181280014,0,2014-10-21 04:00:00,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2acb5590,be74e6fe,1,0,16208,320,50,1800,3,167,100077,23
10051,4611664494451915733,0,2014-10-21,1005,0,85f751fd,c4e18dd6,50e219e0,73206397,2347f47a,8ded1f7a,c4ef40ae,92ad08c0,2cd8ff6d,1,0,21611,320,50,2480,3,297,100111,61
100539,3087473990339951107,0,2014-10-21 04:00:00,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,06b713f2,8a4875bd,1,0,19950,320,50,1800,3,167,100081,23
100542,3087675731348552463,0,2014-10-21 04:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1cc12a50,6569eeb3,1,0,15701,320,50,1722,0,35,100084,79
100544,3087925607180479999,0,2014-10-21 04:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,a90b38fa,cb349e4e,1,0,21647,320,50,2487,1,547,-1,51
100603,3109040184967619463,0,2014-10-21 04:00:00,1005,0,affacb6d,15d4aaf5,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,51a58f20,0eb711ec,1,0,8330,320,50,761,3,175,100077,23
100604,3109604474272615972,0,2014-10-21 04:00:00,1005,0,d5d760f7,cf35f82f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0a2da518,36b67a2a,1,0,21612,320,50,2481,3,297,100111,61
100611,3113027226157195244,0,2014-10-21 04:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,45aff1a2,5c620f04,d1327cf5,f0c17d77,66b1aa00,ef726eae,1,0,19251,320,50,2201,3,35,-1,43
